# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=6 --retry-beam=24 --careful=false "gmm-boost-silence --boost=1.0 1 exp_org/monophones/12.mdl - |" "ark:gunzip -c exp_org/monophones/fsts.5.gz|" "ark,s,cs:apply-cmvn --norm-vars=true  --utt2spk=ark:data_org/train/split8/5/utt2spk scp:data_org/train/split8/5/cmvn.scp scp:data_org/train/split8/5/feats.scp ark:- | add-deltas ark:- ark:- |" "ark,t:|gzip -c >exp_org/monophones/ali.5.gz" 
# Started at Mon Dec 11 18:10:42 UTC 2017
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=6 --retry-beam=24 --careful=false 'gmm-boost-silence --boost=1.0 1 exp_org/monophones/12.mdl - |' 'ark:gunzip -c exp_org/monophones/fsts.5.gz|' 'ark,s,cs:apply-cmvn --norm-vars=true  --utt2spk=ark:data_org/train/split8/5/utt2spk scp:data_org/train/split8/5/cmvn.scp scp:data_org/train/split8/5/feats.scp ark:- | add-deltas ark:- ark:- |' 'ark,t:|gzip -c >exp_org/monophones/ali.5.gz' 
gmm-boost-silence --boost=1.0 1 exp_org/monophones/12.mdl - 
LOG (gmm-boost-silence[5.3.101~2-5c219]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.3.101~2-5c219]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
apply-cmvn --norm-vars=true --utt2spk=ark:data_org/train/split8/5/utt2spk scp:data_org/train/split8/5/cmvn.scp scp:data_org/train/split8/5/feats.scp ark:- 
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_370
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_371
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_372
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_375
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_376
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_377
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_378
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_379
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_38
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_380
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_382
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_383
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_384
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_385
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_386
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_387
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_388
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_389
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_39
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_390
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_391
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_392
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_394
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_395
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_396
WARNING (gmm-align-compiled[5.3.101~2-5c219]:AlignUtteranceWrapper():decoder-wrappers.cc:468) Retrying utterance org_atai_396 with beam 24
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_397
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_398
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_399
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_40
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_400
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_401
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_402
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_403
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_404
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_405
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_406
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_407
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_408
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_409
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_41
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_410
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_411
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_412
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_413
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_414
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_415
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_417
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_418
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_419
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_42
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_420
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_421
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_422
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_423
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_424
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_425
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_426
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_427
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_428
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_429
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_43
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_430
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_431
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_432
LOG (apply-cmvn[5.3.101~2-5c219]:main():apply-cmvn.cc:159) Applied cepstral mean and variance normalization to 69 utterances, errors on 0
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_434
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_435
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_436
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_437
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:127) org_atai_438
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:135) Overall log-likelihood per frame is -1.10236 over 65664 frames.
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:137) Retried 1 out of 69 utterances.
LOG (gmm-align-compiled[5.3.101~2-5c219]:main():gmm-align-compiled.cc:139) Done 69, errors on 0
# Accounting: time=4 threads=1
# Ended (code 0) at Mon Dec 11 18:10:46 UTC 2017, elapsed time 4 seconds
